Track,"Car","Race #","Driver","Team","Lap","Position","Fuel","Pen","Lap Time","Sector 1","Sector 2","Sector 3","Gap","TimingFlags","Timestamp","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pos (Start Lap)","Fuel (Start Lap)","Position Δ","Wind Speed","Wind Direction","Brake Bias","Track Grip","Rain Intensity","Tyre","Tyre Set","Suspension Damage FL","Suspension Damage FR","Suspension Damage RL","Suspension Damage RR","Lap 0 Timestamp","Real Timestamp","Real Duration","° Air","° Road","° FL","° FR","° RL","° RR","Accel From","Accel to","Accidents","Adjusted timestamp","Brake ° FL","Brake ° FR","Brake ° RL","Brake ° RR","Brake Compound F","Brake Compound R","Brand","Category","Cup","Damage Front","Damage Left","Damage Rear","DamageRight","Driver ID","ECU Mode","ELO","First Name","Flags","Lap Completed Timestamp","Lap Type","Last Name","Licence","Max Speed","Nation Flag","Nationality","p FL","p FR","p RL","p RR","Peak Accel","Peak Accel Dist","Peak Accel Time","Penalty","Penalty Code","PenaltyTime","Player ID","Player Unclear","Position (Broadcast)","Repair Time","Session ID","Short Name","SR"
Silverstone (2022),"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","18","1","48,5L","","2:01,290","0:35,885","0:51,215","0:34,190","+0,000","0","0.0","+3,201","+4,653","-4,791","-1,807","OPTIMUM","Dry","1","0","","0,0 Km/h","N","57,0%","Optimum","No Rain","DHE","2","0","0","0","0","","","","25,6°C","31,2°C","93,4°C","82,8°C","92,2°C","83,7°C","80","245","0","","249,4°C","246,9°C","218,5°C","217,5°C","2","2","","Gold","Pro","0","0","0","0","0","1","","Ville","1","42:20,130","Regular","Synkkänen","","253 Km/h","","Finland","27,2 psi","26,8 psi","26,8 psi","26,7 psi","22,2841066140178","748,003","14312","0","","0","1","False","1","","1b7e16d6-5d86-417b-a449-0025143de548","SYN",""
Silverstone (2022),"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","19","1","45,3L","","2:01,230","0:35,945","0:51,130","0:34,155","+0,000","0","0.0","+3,141","+4,593","-4,851","-1,867","OPTIMUM","Dry","1","0","","0,0 Km/h","N","57,0%","Optimum","No Rain","DHE","2","0","0","0","0","","","","25,6°C","31,1°C","93,3°C","82,7°C","91,8°C","83,5°C","80","245","0","","252,9°C","249,5°C","220,9°C","219,3°C","2","2","","Gold","Pro","0","0","0","0","0","1","","Ville","0","44:21,355","Regular","Synkkänen","","254 Km/h","","Finland","27,2 psi","26,8 psi","26,7 psi","26,7 psi","22,1011869436202","748,003","14312","0","","0","1","False","1","","1b7e16d6-5d86-417b-a449-0025143de548","SYN",""
Silverstone (2022),"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","20","1","42,1L","","2:01,440","0:35,867","0:51,377","0:34,195","+0,000","0","0.0","+3,351","+4,803","-4,641","-1,657","OPTIMUM","Dry","1","0","","0,0 Km/h","N","57,0%","Optimum","No Rain","DHE","2","0","0","0","0","","","","25,5°C","31,0°C","93,4°C","82,7°C","91,7°C","83,5°C","80","245","0","","252,5°C","249,1°C","221,1°C","219,1°C","2","2","","Gold","Pro","0","0","0","0","0","1","","Ville","1","46:22,797","Regular","Synkkänen","","253 Km/h","","Finland","27,2 psi","26,8 psi","26,7 psi","26,7 psi","21,4020833333333","748,003","14312","0","","0","1","False","1","","1b7e16d6-5d86-417b-a449-0025143de548","SYN",""
Silverstone (2022),"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","21","1","38,9L","","2:01,077","0:35,985","0:51,010","0:34,082","+0,000","0","0.0","+2,988","+4,440","-5,004","-2,020","OPTIMUM","Dry","1","0","","0,0 Km/h","N","57,0%","Optimum","No Rain","DHE","2","0","0","0","0","","","","25,5°C","30,9°C","93,2°C","82,4°C","91,6°C","83,4°C","80","245","0","","253,2°C","250,9°C","220,9°C","220,0°C","2","2","","Gold","Pro","0","0","0","0","0","1","","Ville","0","48:23,877","Regular","Synkkänen","","253 Km/h","","Finland","27,1 psi","26,8 psi","26,6 psi","26,7 psi","22,0681146744412","748,003","14312","0","","0","1","False","1","","1b7e16d6-5d86-417b-a449-0025143de548","SYN",""
Silverstone (2022),"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","22","1","35,7L","","2:01,257","0:35,937","0:51,155","0:34,165","+0,000","0","0.0","+3,168","+4,620","-4,824","-1,840","OPTIMUM","Dry","1","0","","0,0 Km/h","N","57,0%","Optimum","No Rain","DHE","2","0","0","0","0","","","","25,5°C","30,8°C","93,3°C","82,9°C","91,2°C","83,0°C","80","245","0","","256,2°C","252,6°C","223,6°C","221,5°C","2","2","","Gold","Pro","0","0","0","0","0","1","","Ville","0","50:25,132","Regular","Synkkänen","","254 Km/h","","Finland","27,1 psi","26,8 psi","26,6 psi","26,7 psi","23,0900590551181","748,003","14312","0","","0","1","False","1","","1b7e16d6-5d86-417b-a449-0025143de548","SYN",""
Silverstone (2022),"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","23","1","32,5L","","2:01,322","0:36,002","0:51,190","0:34,130","+0,000","0","0.0","+3,233","+4,685","-4,759","-1,775","OPTIMUM","Dry","1","0","","0,0 Km/h","N","57,0%","Optimum","No Rain","DHE","2","0","0","0","0","","","","25,5°C","30,7°C","93,2°C","83,0°C","91,8°C","83,3°C","80","245","0","","252,1°C","248,4°C","220,4°C","218,0°C","2","2","","Gold","Pro","0","0","0","0","0","1","","Ville","0","52:26,457","Regular","Synkkänen","","253 Km/h","","Finland","26,9 psi","26,8 psi","26,6 psi","26,7 psi","22,6740667976424","748,003","14312","0","","0","1","False","1","","1b7e16d6-5d86-417b-a449-0025143de548","SYN",""
Silverstone (2022),"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","24","1","29,3L","","2:01,150","0:35,885","0:51,077","0:34,187","+0,000","0","0.0","+3,061","+4,513","-4,931","-1,947","OPTIMUM","Dry","1","0","","0,0 Km/h","N","57,0%","Optimum","No Rain","DHE","2","0","0","0","0","","","","25,4°C","30,6°C","93,8°C","83,0°C","90,9°C","82,5°C","80","245","0","","248,0°C","245,3°C","216,6°C","215,7°C","2","2","","Gold","Pro","0","0","0","0","0","1","","Ville","1","54:27,602","Regular","Synkkänen","","253 Km/h","","Finland","26,9 psi","26,8 psi","26,5 psi","26,6 psi","23,0722495088409","748,003","14312","0","","0","1","False","1","","1b7e16d6-5d86-417b-a449-0025143de548","SYN",""
Silverstone (2022),"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","25","1","26,1L","","2:01,130","0:35,917","0:51,025","0:34,187","+0,000","0","0.0","+3,041","+4,493","-4,951","-1,967","OPTIMUM","Dry","1","0","","0,0 Km/h","N","57,0%","Optimum","No Rain","DHE","2","0","0","0","0","","","","25,4°C","30,5°C","93,8°C","82,9°C","91,0°C","82,5°C","80","245","0","","252,6°C","249,3°C","220,9°C","219,3°C","2","2","","Gold","Pro","0","0","0","0","0","1","","Ville","0","56:28,732","Regular","Synkkänen","","253 Km/h","","Finland","26,9 psi","26,8 psi","26,5 psi","26,6 psi","22,8440415019763","748,003","14312","0","","0","1","False","1","","1b7e16d6-5d86-417b-a449-0025143de548","SYN",""
Silverstone (2022),"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","26","1","22,9L","","2:01,342","0:35,985","0:51,222","0:34,135","+0,000","0","0.0","+3,253","+4,705","-4,739","-1,755","OPTIMUM","Dry","1","0","","0,0 Km/h","N","57,0%","Optimum","No Rain","DHE","2","0","0","0","0","","","","25,4°C","30,4°C","93,9°C","83,0°C","90,6°C","82,2°C","80","245","0","","246,5°C","244,1°C","215,5°C","215,1°C","2","2","","Gold","Pro","0","0","0","0","0","1","","Ville","1","58:30,077","Regular","Synkkänen","","254 Km/h","","Finland","26,9 psi","26,8 psi","26,5 psi","26,6 psi","22,5954545454545","748,003","14312","0","","0","1","False","1","","1b7e16d6-5d86-417b-a449-0025143de548","SYN",""
Silverstone (2022),"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","27","1","19,7L","","2:01,515","0:35,927","0:51,420","0:34,167","+0,000","0","0.0","+3,426","+4,878","-4,566","-1,582","OPTIMUM","Dry","1","0","","0,0 Km/h","N","57,0%","Optimum","No Rain","DHE","2","0","0","0","0","","","","25,3°C","30,3°C","94,2°C","83,2°C","90,6°C","82,3°C","80","245","0","","249,7°C","247,9°C","218,0°C","217,7°C","2","2","","Gold","Pro","0","0","0","0","0","1","","Ville","0","60:31,592","Regular","Synkkänen","","254 Km/h","","Finland","26,9 psi","26,9 psi","26,5 psi","26,6 psi","22,7525793650794","748,003","14312","0","","0","1","False","1","","1b7e16d6-5d86-417b-a449-0025143de548","SYN",""
Silverstone (2022),"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","28","1","16,5L","","2:01,310","0:35,872","0:51,305","0:34,132","+0,000","0","0.0","+3,221","+4,673","-4,771","-1,787","OPTIMUM","Dry","1","0","","0,0 Km/h","N","57,0%","Optimum","No Rain","DHE","2","0","0","0","0","","","","25,3°C","30,2°C","94,0°C","83,2°C","91,2°C","82,8°C","80","245","0","","250,3°C","248,5°C","218,9°C","218,0°C","2","2","","Gold","Pro","0","0","0","0","0","1","","Ville","0","62:32,900","Regular","Synkkänen","","254 Km/h","","Finland","26,9 psi","26,9 psi","26,5 psi","26,6 psi","23,0543392504931","748,003","14312","0","","0","1","False","1","","1b7e16d6-5d86-417b-a449-0025143de548","SYN",""
Silverstone (2022),"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","29","1","13,3L","","2:01,280","0:35,877","0:51,227","0:34,175","+0,000","0","0.0","+3,191","+4,643","-4,801","-1,817","OPTIMUM","Dry","1","0","","0,0 Km/h","N","57,0%","Optimum","No Rain","DHE","2","0","0","0","0","","","","25,3°C","30,1°C","93,9°C","83,0°C","90,6°C","82,3°C","80","245","0","","249,9°C","246,2°C","218,3°C","216,5°C","2","2","","Gold","Pro","0","0","0","0","0","1","","Ville","1","64:34,182","Regular","Synkkänen","","254 Km/h","","Finland","26,9 psi","26,8 psi","26,4 psi","26,6 psi","23,5013654223969","748,003","14312","0","","0","1","False","1","","1b7e16d6-5d86-417b-a449-0025143de548","SYN",""
Silverstone (2022),"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","30","1","10,1L","","2:01,450","0:35,895","0:51,420","0:34,135","+0,000","0","0.0","+3,361","+4,813","-4,631","-1,647","OPTIMUM","Dry","1","0","","0,0 Km/h","N","57,0%","Optimum","No Rain","DHE","2","0","0","0","0","","","","25,2°C","30,0°C","94,1°C","83,1°C","90,4°C","81,9°C","80","245","0","","252,8°C","249,8°C","220,9°C","219,3°C","2","2","","Gold","Pro","0","0","0","0","0","1","","Ville","0","66:35,632","Regular","Synkkänen","","254 Km/h","","Finland","26,9 psi","26,8 psi","26,4 psi","26,5 psi","22,8890424481737","748,003","14312","0","","0","1","False","1","","1b7e16d6-5d86-417b-a449-0025143de548","SYN",""
Silverstone (2022),"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","31","1","6,9L","","2:01,417","0:35,842","0:51,395","0:34,180","+0,000","0","0.0","+3,328","+4,780","-4,664","-1,680","OPTIMUM","Dry","1","0","","0,0 Km/h","N","57,0%","Optimum","No Rain","DHE","2","0","0","0","0","","","","25,2°C","29,9°C","94,4°C","83,3°C","90,2°C","81,8°C","80","245","0","","253,8°C","250,9°C","221,7°C","220,0°C","2","2","","Gold","Pro","0","0","0","0","0","1","","Ville","0","68:37,047","Regular","Synkkänen","","254 Km/h","","Finland","26,9 psi","26,9 psi","26,4 psi","26,5 psi","23,8486403940887","748,003","14312","0","","0","1","False","1","","1b7e16d6-5d86-417b-a449-0025143de548","SYN",""
Silverstone (2022),"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","32","1","3,7L","","2:01,557","0:35,912","0:51,465","0:34,180","+0,000","0","0.0","+3,468","+4,920","-4,524","-1,540","OPTIMUM","Dry","1","0","","0,0 Km/h","N","57,0%","Optimum","No Rain","DHE","2","0","0","0","0","","","","25,2°C","29,8°C","93,7°C","83,1°C","90,6°C","82,2°C","80","245","0","","252,8°C","249,6°C","221,4°C","218,9°C","2","2","","Gold","Pro","0","0","0","0","0","1","","Ville","0","70:38,605","Regular","Synkkänen","","253 Km/h","","Finland","26,9 psi","26,8 psi","26,4 psi","26,5 psi","22,9823471400394","748,003","14312","0","","0","1","False","1","","1b7e16d6-5d86-417b-a449-0025143de548","SYN",""
